# sample_name,input_path,species
ace-dip-tug,/bil/data/63/05/63053886eb9f9771/660403,mouse
ace-dip-use,/bil/data/63/05/63053886eb9f9771/660406,mouse
ace-dip-vat,/bil/data/63/05/63053886eb9f9771/660410,mouse
ace-dug-fin,/bil/data/4c/a5/4ca56ab12ee4ec99/658801,mouse
ace-low-bet,/bil/data/50/51/505118bf1edfb3e6/702265/1296400263/merfish_output/1296400263_SISSeg_mousedevmodel_20241007,mouse
ace-low-bid,/bil/data/50/51/505118bf1edfb3e6/702265/1296400260/merfish_output/1296400260_SISSeg_mousedevmodel_20241007,mouse
ace-low-big,/bil/data/50/51/505118bf1edfb3e6/702265/1296400257/merfish_output/1296400257_SISSeg_mousedevmodel_20241007,mouse
ace-low-bin,/bil/data/50/51/505118bf1edfb3e6/702265/1296400254/merfish_output/1296400254_SISSeg_mousedevmodel_20241008,mouse
ace-low-bit,/bil/data/50/51/505118bf1edfb3e6/702265/1296400251/merfish_output/1296400251_SISSeg_mousedevmodel_20241008,mouse
ace-low-bog,/bil/data/50/51/505118bf1edfb3e6/702265/1296400248/merfish_output/1296400248_SISSeg_mousedevmodel_20241008,mouse
ace-low-boo,/bil/data/50/51/505118bf1edfb3e6/702265/1296400245/merfish_output/1296400245_SISSeg_mousedevmodel_20241008,mouse
ace-low-box,/bil/data/50/51/505118bf1edfb3e6/702265/1296400242/merfish_output/1296400242_SISSeg_mousedevmodel_20241008,mouse
ace-low-bud,/bil/data/50/51/505118bf1edfb3e6/702265/1296400239/merfish_output/1296400239_SISSeg_mousedevmodel_20241008,mouse
ace-low-bug,/bil/data/50/51/505118bf1edfb3e6/702265/1296400236/merfish_output/1296400236_SISSeg_mousedevmodel_20241008,mouse
ace-low-bun,/bil/data/50/51/505118bf1edfb3e6/702265/1296400233/merfish_output/1296400233_SISSeg_mousedevmodel_20241009,mouse
ace-low-bus,/bil/data/50/51/505118bf1edfb3e6/702265/1296400230/merfish_output/1296400230_SISSeg_mousedevmodel_20241009,mouse
ace-low-cab,/bil/data/50/51/505118bf1edfb3e6/702265/1296400226/merfish_output/1296400226_SISSeg_mousedevmodel_20241009,mouse
ace-low-can,/bil/data/50/51/505118bf1edfb3e6/702265/1296400223/merfish_output/1296400223_SISSeg_mousedevmodel_20241009,mouse
ace-low-cap,/bil/data/50/51/505118bf1edfb3e6/702265/1296400220/merfish_output/1296400220_SISSeg_mousedevmodel_20241009,mouse
